Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
897107,2021,Fujairah,June,Monday,At noon,second week,A fixed body was shocked outside the road,Sudden deviation,airport Street,an airport,Marishid area,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,19,Male,80,2,There is no,Not at intersection,1
897110,2021,Sharjah,November,Tuesday,At noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Khorfakkan Road,External road,Sharjah / Al Dhaid,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,24,Male,120,2,There is no,Not at intersection,1
897112,2021,Abu Dhabi,August,Monday,Before noon,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,Intimate Street,Agricultural area,Miserable,public road,day,curve,No Clouds,dry,pedestrian,There is no passenger,Eloquent,56,Male,120,2,There is no,Not at intersection,1
897115,2021,Sharjah,June,Thursday,In the afternoon,second week,Run,Preoccupation with the road while driving the vehicle in any way,Sheikh Sultan bin Saqr Al Qasimi Street,Residential area,Bozenah,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Eloquent,3,Male,40,1,He crosses not on transit lines,Not on or by (20) meters of a,1
897124,2021,Sharjah,March,Sunday,Before noon,the third week,Be shocked,Sudden deviation,Khorfakkan Road,Sandy area,scarf,Out of the way,Night - without lighting,Wicked (Bad),No Clouds,earthy,driver,Driver,Eloquent,23,Male,20,1,There is no,Others,1
897128,2021,Abu Dhabi,March,Wednesday,At noon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,General Street (Abu Dhabi - Commodities),External road,Ruwais,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,35,Male,160,3,There is no,Not on or by (20) meters of a,1
897130,2021,Sharjah,February,Tuesday,Before noon,second week,Deterioration,Sudden deviation,Khorfakkan Road,External road,Sharjah / Al Dhaid,Double road,day,Wicked (Bad),fog,dry,passenger,Rapid in the back seat,Eloquent,30,Male,120,2,There is no,Not on or by (20) meters of a,1
897132,2021,Sharjah,February,Tuesday,Before noon,second week,Deterioration,Sudden deviation,Khorfakkan Road,External road,Sharjah / Al Dhaid,Double road,day,Wicked (Bad),fog,dry,passenger,Rapid in the back seat,Eloquent,31,Male,120,2,There is no,Not on or by (20) meters of a,1
897133,2021,Sharjah,August,Saturday,Before noon,The first week,Shocked,Sudden deviation,Maliha Street,Industrial area,The eighteenth industrial zone,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Eloquent,17,Male,120,3,There is no,Not on or by (20) meters of a,1
897134,2021,Abu Dhabi,September,Thursday,Before noon,The fifth week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Al -Ruwais Street - Goods,Tunnel / Bridge,General Street (Abu Dhabi - Commodities),Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,19,Male,160,4,There is no,Not at intersection,1
897137,2021,Abu Dhabi,Dec,Thursday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Al Ain Street - Dubai,External road,Hayer,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,death,32,Male,140,4,Familiar,Not at intersection,1
897139,2021,Abu Dhabi,February,Wednesday,At noon,The first week,Be shocked,Preoccupation with the road while driving the vehicle in any way,General Street (Abu Dhabi - Commodities),Residential area,Port,public road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,death,27,Male,160,4,There is no,Not at intersection,1
897140,2021,Abu Dhabi,January,Thursday,Before noon,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Nahyan First Street,Residential area,full,Double road,day,Wicked (Bad),No Clouds,dry,driver,Bike,death,37,Male,80,3,There is no,Not at intersection,1
897146,2021,Abu Dhabi,September,Monday,At noon,fourth week,Cross -100,Preoccupation with the road while driving the vehicle in any way,Al Ain Street - Al -Wajan - Al -Qaa,External road,Custody,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,death,36,Male,120,2,There is no,Not at intersection,1
897150,2021,Abu Dhabi,June,Saturday,At noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,El-Shikh Zayed street,Residential area,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,death,34,Female,120,4,There is no,Not at intersection,1
897152,2021,Abu Dhabi,Dec,Thursday,In the afternoon,the third week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,Tunnel / Bridge,Al -Faya Bridge,bridge,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,death,45,Male,60,2,There is no,vertigo,1
897153,2021,Ras Al Khaimah,August,Saturday,In the afternoon,second week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Emirates Street Transit Street,Sandy area,Stagnation,public road,Night - Enough lighting,Other (select),No Clouds,Temple,driver,Driver,death,34,Male,120,3,There is no,Not at intersection,1
897155,2021,Fujairah,February,Sunday,Evening,fourth week,Be shocked,Sudden deviation,Kuwait Street,Tunnel / Bridge,The faction area,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,death,21,Male,60,3,There is no,Not on or by (20) meters of a,1
897157,2021,Abu Dhabi,February,Sunday,Before noon,The first week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Al Ain Street - Dubai,External road,Hayer,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,death,28,Male,140,4,There is no,Not at intersection,1
897159,2021,Abu Dhabi,June,Tuesday,Evening,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,Treasury Bridge,Double road,Night - without lighting,Wicked (Bad),No Clouds,dry,driver,Driver,death,42,Male,80,2,There is no,Not on or by (20) meters of a,1
897160,2021,Sharjah,February,Tuesday,Before noon,second week,Deterioration,Sudden deviation,Khorfakkan Road,External road,Sharjah / Al Dhaid,Double road,day,Wicked (Bad),fog,dry,passenger,A passenger in the front seat,death,23,Male,120,2,There is no,Not on or by (20) meters of a,1
897162,2021,Abu Dhabi,January,Thursday,Evening,fourth week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,International airport roads,an airport,There is no definition of regions,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,death,24,Male,80,2,There is no,vertigo,1
897164,2021,Abu Dhabi,August,Sunday,Evening,The first week,Run,Preoccupation with the road while driving the vehicle in any way,Tarif road,Tunnel / Bridge,intimate,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,death,31,Male,140,5,He crosses not on transit lines,Not on or by (20) meters of a,1
897165,2021,Ras Al Khaimah,February,Saturday,In the afternoon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Airport Street,Petrol station,Stagnation,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,death,30,Male,80,2,There is no,Not at intersection,1
897167,2021,Abu Dhabi,June,Monday,At noon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,General Street (Abu Dhabi - Commodities),External road,Commodity,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,death,35,Male,160,3,There is no,Not on or by (20) meters of a,1
897168,2021,Abu Dhabi,January,Wednesday,Before noon,the third week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Industrial Archbishop,vertigo,day,Wicked (Bad),fog,Foundation,driver,Driver,death,31,Male,60,2,There is no,vertigo,1
897173,2021,Fujairah,January,Monday,Before noon,fourth week,Be shocked,Sudden deviation,Hamad bin Abdullah Street,Petrol station,City Center area,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,33,Male,60,3,There is no,Not on or by (20) meters of a,1
897175,2021,Ras Al Khaimah,January,Thursday,Evening,fourth week,Shock,Sudden deviation,Emirates Al Saadi Street,Others,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Simple,27,Female,120,2,There is no,Not at intersection,1
897179,2021,Abu Dhabi,June,Sunday,Before noon,second week,Shock,Sudden deviation,Peace Street (Eight),Commercial area,Palace,public road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,19,Male,100,5,There is no,Multi -legs intersection,1
897183,2021,Abu Dhabi,March,Sunday,Evening,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Sweihan Road,External road,The farmer,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,41,Female,140,4,There is no,Not at intersection,1
897185,2021,Abu Dhabi,June,Wednesday,Before noon,the third week,Deterioration,Sudden deviation,Al Ain Street - Al -Wajan - Al -Qaa,External road,Custody,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,31,Female,140,2,There is no,Not at intersection,1
897189,2021,Abu Dhabi,March,Thursday,In the afternoon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Tunnel / Bridge,Long Bridge,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,24,Male,140,2,There is no,Not on or by (20) meters of a,1
897191,2021,Abu Dhabi,March,Thursday,In the afternoon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Tunnel / Bridge,Long Bridge,Individual,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,50,Male,140,2,There is no,Not on or by (20) meters of a,1
897196,2021,Abu Dhabi,Dec,Thursday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Al Ain Street - Dubai,External road,Hayer,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,25,Male,140,4,There is no,Not at intersection,1
897199,2021,Sharjah,May,Friday,Before noon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Maliha Street,Residential area,Mud,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,19,Male,80,2,There is no,Hole,1
897203,2021,Abu Dhabi,March,Tuesday,In the afternoon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sweihan Road,External road,Sweihan,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,81,Female,140,2,There is no,Not at intersection,1
897214,2021,Sharjah,March,Saturday,In the afternoon,fourth week,Deterioration,Sudden deviation,Sheikh Khalid bin Mohammed Al Qasimi Street,Commercial area,Sheikh Khaled Road,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,19,Male,60,2,There is no,Not on or by (20) meters of a,1
897215,2021,Fujairah,September,Thursday,Evening,The fifth week,A fixed body was shocked outside the road,Sudden deviation,New Truck Street roundabout,an airport,Tricks,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,37,Male,80,2,There is no,Not on or by (20) meters of a,1
897219,2021,Umm Al Quwain,November,Thursday,Evening,the third week,Deterioration,Sudden deviation,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Petrol station,Navel,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Simple,28,Male,120,3,There is no,Not on or by (20) meters of a,1
897226,2021,Abu Dhabi,Dec,Sunday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Liwa Street,Others,Zayed City,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,30,Male,140,2,There is no,Not at intersection,1
897229,2021,Ras Al Khaimah,May,Saturday,Evening,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Southern Al -Dhait Street near the Zayed Center,Mosque,Southern,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,27,Male,60,2,There is no,Not at intersection,1
897231,2021,Umm Al Quwain,September,Sunday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Emirates Street,External road,Polite area,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,25,Male,120,3,There is no,Not at intersection,1
897232,2021,Ras Al Khaimah,June,Monday,Evening,the third week,Be shocked,Sudden deviation,Al -Munai’i Street,Mosque,Al -Munai’i,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,18,Male,60,1,There is no,Not on or by (20) meters of a,1
897240,2021,Abu Dhabi,February,Saturday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Simple,37,Male,160,3,There is no,Not on or by (20) meters of a,1
897247,2021,Umm Al Quwain,March,Tuesday,Before noon,the third week,Be shocked,Preoccupation with the road while driving the vehicle in any way,International Federation Street,Residential area,Al -Salamah area b,Intersection,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Simple,9,Female,10,1,There is no,Multi -legs intersection,1
897256,2021,Abu Dhabi,October,Friday,Before noon,The first week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Umm Al -Nar Road / Shahama,External road,Rest Beach,bridge,day,curve,No Clouds,dry,passenger,A passenger in the front seat,Simple,36,Male,40,2,There is no,Others,1
897263,2021,Sharjah,September,Friday,Before noon,The first week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Raqqa Street,Residential area,Algeria,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Simple,28,Male,40,2,There is no,Not on or by (20) meters of a,1
897264,2021,Ras Al Khaimah,June,Monday,Evening,the third week,Be shocked,Sudden deviation,Al -Munai’i Street,Mosque,Al -Munai’i,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Simple,18,Male,60,1,There is no,Not on or by (20) meters of a,1
897265,2021,Umm Al Quwain,November,Thursday,Evening,the third week,Deterioration,Sudden deviation,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Petrol station,Navel,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,35,Male,120,3,There is no,Not on or by (20) meters of a,1
897268,2021,Abu Dhabi,Dec,Saturday,In the afternoon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,There is no definition,Tunnel / Bridge,Between the two bridges,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,36,Male,100,3,There is no,Not at intersection,1
897270,2021,Fujairah,October,Thursday,In the afternoon,the third week,A fixed body was shocked outside the road,Sudden deviation,Hala Street,Residential area,Dibba Al -Fujairah / Hala,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,15,Male,100,2,There is no,Not on or by (20) meters of a,1
897271,2021,Abu Dhabi,February,Tuesday,In the afternoon,second week,Run,Preoccupation with the road while driving the vehicle in any way,The tall roundabout,Residential area,The farmer,Dhuatatin Road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Simple,8,Male,60,2,He crosses not on transit lines,Not on or by (20) meters of a,1
897283,2021,Sharjah,November,Thursday,At noon,the third week,Deterioration,Sudden deviation,Hamda popularity,Tunnel / Bridge,Al Dhaid / Al Madam,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,62,Male,100,2,There is no,Not at intersection,1
897284,2021,Ras Al Khaimah,October,Thursday,In the afternoon,second week,Deterioration,Sudden deviation,Al -Ittihad Street from Al -Sarramic Roundabout to Morgan Borders,Others,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Simple,16,Male,120,2,There is no,Not at intersection,1
897285,2021,Abu Dhabi,October,Friday,At noon,The fifth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Tunnel / Bridge,Sih Al -Shuaib Bridge,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Simple,31,Male,140,4,There is no,Not on or by (20) meters of a,1
897290,2021,Abu Dhabi,October,Tuesday,In the afternoon,second week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,Residential area,Mohammed bin Zayed City,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,32,Male,60,2,There is no,Not on or by (20) meters of a,1
897294,2021,Abu Dhabi,March,Thursday,At noon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,There is no definition,Industrial area,Industrial Archbishop,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,38,Male,40,3,There is no,Not on or by (20) meters of a,1
897295,2021,Abu Dhabi,November,Friday,Evening,fourth week,Cross -100,Sudden deviation,Abu Dhabi Road - Al Ain,Others,Al Wathba (East + West),Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,19,Male,80,1,There is no,Not on or by (20) meters of a,1
897301,2021,Abu Dhabi,January,Tuesday,Evening,the third week,A fixed body shocked the road,Sudden deviation,Hazaa Bin Zayed the First Street(Eleven),Commercial area,Unit,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,26,Male,60,3,There is no,Not on or by (20) meters of a,1
897303,2021,Umm Al Quwain,July,Monday,Before noon,second week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Emirates Street,Others,Polite area,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,24,Male,120,2,There is no,Not on or by (20) meters of a,1
897305,2021,Abu Dhabi,October,Monday,Before noon,second week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Truck Road (Abu Dhabi-Al Ain),External road,Al Wathba Camel Square,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,34,Male,100,1,There is no,Not on or by (20) meters of a,1
897311,2021,Abu Dhabi,September,Thursday,At noon,second week,Run,Preoccupation with the road while driving the vehicle in any way,IP49A Al Sharqi intersection (traffic) - Muhammad bin Khalifa,Governmental,Unit,Intersection,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,27,Male,80,4,He crosses not on transit lines,Not on or by (20) meters of a,1
897313,2021,Fujairah,October,Wednesday,At noon,The first week,Deterioration,Sudden deviation,The new Sakmam roundabout,Commercial area,Sakmkm area,vertigo,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,25,Male,60,2,There is no,vertigo,1
897314,2021,Sharjah,February,Tuesday,Before noon,second week,Deterioration,Sudden deviation,Khorfakkan Road,External road,Sharjah / Al Dhaid,Double road,day,Wicked (Bad),fog,dry,passenger,Rapid in the back seat,Medium,24,Male,120,2,There is no,Not on or by (20) meters of a,1
897315,2021,Abu Dhabi,April,Saturday,At noon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Mafraq Al -Shawamik Street,Residential area,Tall,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,31,Male,80,3,There is no,Not on or by (20) meters of a,1
897316,2021,Sharjah,February,Wednesday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Khalid bin Saqr Al Qasimi Street,Residential area,Palm,Intersection,Night - Enough lighting,The movement is suspended,No Clouds,dry,driver,Bike,Medium,22,Male,60,5,There is no,Vertical cross intersection,1
897317,2021,Abu Dhabi,June,Monday,Evening,the third week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Industrial armored bridge,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,36,Male,60,3,There is no,vertigo,1
897320,2021,Abu Dhabi,November,Friday,At noon,The first week,Run,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,Tunnel / Bridge,Al Wathba (East + West),Double road,day,crowded,No Clouds,Temple,pedestrian,There is no passenger,Medium,32,Female,160,3,There is no,Not on or by (20) meters of a,1
897323,2021,Abu Dhabi,Dec,Tuesday,Evening,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,Hazaa Bin Zayed the First Street(Eleven),Commercial area,Reem Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Medium,42,Male,80,3,There is no,Not at intersection,1
897329,2021,Abu Dhabi,January,Saturday,Before noon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Industrial area,Industrial Archbishop,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,39,Male,80,3,He crosses not on transit lines,Not on or by (20) meters of a,1
897333,2021,Abu Dhabi,November,Tuesday,Evening,fourth week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Armored road,Industrial area,Industrial armored bridge,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,40,Male,40,2,There is no,vertigo,1
897335,2021,Sharjah,October,Saturday,Before noon,The fifth week,Deterioration,Sudden deviation,Hamriyah,Residential area,Hamriyah,Individual,Night - without lighting,Wicked (Bad),No Clouds,Sand,passenger,A passenger in the front seat,Medium,17,Male,10,1,There is no,Not on or by (20) meters of a,1
897336,2021,Abu Dhabi,March,Monday,Evening,second week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Rashid Al Maktoum Street,External road,-,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,24,Male,140,4,There is no,Not on or by (20) meters of a,1
897338,2021,Abu Dhabi,June,Wednesday,At noon,The first week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Truck Street,Tunnel / Bridge,Bare,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,29,Female,120,3,There is no,Not at intersection,1
897346,2021,Abu Dhabi,October,Saturday,At noon,The fifth week,Shock,Sudden deviation,Hazza Bin Sultan Street,External road,Reefs,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,19,Male,140,2,There is no,Not at intersection,1
897347,2021,Abu Dhabi,October,Wednesday,At noon,the third week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,Residential area,The Military Renaissance City,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,23,Male,60,2,There is no,Not on or by (20) meters of a,1
897351,2021,Abu Dhabi,November,Monday,In the afternoon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,Residential area,Bani Yas (East),Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,34,Male,80,2,There is no,Not on or by (20) meters of a,1
897359,2021,Abu Dhabi,July,Monday,Evening,the third week,Run,Preoccupation with the road while driving the vehicle in any way,There is no definition,Commercial area,Bracelet,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,44,Male,60,3,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
897361,2021,Umm Al Quwain,August,Sunday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),External road,Navel,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,37,Female,120,3,There is no,Not at intersection,1
897362,2021,Abu Dhabi,February,Saturday,Before noon,fourth week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Industrial armored bridge,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,21,Male,80,2,He crosses not on transit lines,Not on or by (20) meters of a,1
897363,2021,Ras Al Khaimah,May,Saturday,In the afternoon,the third week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Wadi Al -Bayh Street,Mountainous area,Sih Al -Barirat,Dhuatatin Road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,27,Male,60,2,There is no,Others,1
897365,2021,Abu Dhabi,September,Thursday,Evening,fourth week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,Al Wathba (East + West),Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,36,Female,160,3,There is no,Not on or by (20) meters of a,1
897368,2021,Umm Al Quwain,January,Monday,Before noon,fourth week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Tunnel / Bridge,Navel,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,43,Male,140,3,There is no,Not on or by (20) meters of a,1
897372,2021,Abu Dhabi,August,Sunday,Evening,The first week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Toward,Residential area,Tall,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,22,Male,40,2,There is no,vertigo,1
897373,2021,Abu Dhabi,October,Friday,In the afternoon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,hospital,Bani Yas (East),Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,32,Male,60,3,There is no,Not on or by (20) meters of a,1
897376,2021,Abu Dhabi,March,Friday,At noon,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,External road,Sih Al -Shuaib,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,17,Male,140,4,There is no,Not on or by (20) meters of a,1
897377,2021,Abu Dhabi,October,Friday,At noon,The fifth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Tunnel / Bridge,Sih Al -Shuaib Bridge,Individual,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,27,Male,140,4,There is no,Not on or by (20) meters of a,1
897385,2021,Ras Al Khaimah,November,Saturday,At noon,The first week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Sheikh Rashid bin Saeed Street,Residential area,Northern,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,35,Male,80,2,There is no,Not at intersection,1
897389,2021,Ras Al Khaimah,October,Friday,Evening,fourth week,A fixed body was shocked outside the road,Sudden deviation,Emirates Al Saadi Street,Industrial area,The Red Island,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,30,Female,80,2,There is no,Not at intersection,1
897391,2021,Abu Dhabi,January,Monday,Before noon,fourth week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Residential area,Al Shaila,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,22,Male,80,2,There is no,Not on or by (20) meters of a,1
897392,2021,Abu Dhabi,April,Sunday,Before noon,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Umm Al -Zamoul Street,External road,Mother of Zamul,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,22,Male,120,2,There is no,Not at intersection,1
897397,2021,Sharjah,February,Tuesday,Before noon,second week,Deterioration,Sudden deviation,Khorfakkan Road,External road,Sharjah / Al Dhaid,Double road,day,Wicked (Bad),fog,dry,passenger,Rapid in the back seat,Medium,26,Male,120,2,There is no,Not on or by (20) meters of a,1
897399,2021,Ras Al Khaimah,October,Saturday,Evening,second week,Be shocked,Sudden deviation,Dafta Street,Mountainous area,Inconsistent,public road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,25,Male,100,2,There is no,Not at intersection,1
