,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
196,196,196,896668,2021,Abu Dhabi,June,Friday,Evening,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,External road,Mohammed bin Zayed City,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,29,Male,80,3,There is no,Not on or by (20) meters of a,1
197,197,197,896669,2021,Ras Al Khaimah,July,Monday,Evening,The first week,Shock,Enter a major road without making sure that it is free,Mohammed bin Salem Street from the roundabout of Mohammed bin Zaid to Dolphin,Others,The Red Island,Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,22,Female,100,2,There is no,Hole,1
198,198,198,896670,2021,Sharjah,January,Wednesday,Before noon,second week,Be shocked,Enter a major road without making sure that it is free,The field of cooperation,Residential area,Gorgeous,Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,27,Male,60,2,There is no,Not on or by (20) meters of a,1
199,199,199,896671,2021,Abu Dhabi,January,Tuesday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Al Dhafra Air Force Base,public road,day,Wicked (Bad),No Clouds,Foundation,passenger,Rapid in the back seat,Medium,30,Male,80,5,There is no,Not on or by (20) meters of a,1
200,200,200,896672,2021,Sharjah,June,Sunday,At noon,fourth week,Shock,Sudden deviation,industrial area,External road,Industrial Zone,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,25,Male,60,1,There is no,Not on or by (20) meters of a,1
201,201,201,896673,2021,Sharjah,October,Tuesday,Evening,The first week,Run,Negligence and lack of attention,Nahda Street,Residential area,Nomination,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,27,Female,10,1,He crosses not on transit lines,Not on or by (20) meters of a,1
202,202,202,896674,2021,Abu Dhabi,October,Sunday,Evening,fourth week,Shock,Overcoming the red light signal,Sultan Bin Zayed the First Street (Thirty Two),Commercial area,There is no definition of regions,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,44,Male,80,4,There is no,Vertical cross intersection,1
203,203,203,896675,2021,Abu Dhabi,Dec,Wednesday,Evening,second week,Run,Speed without taking into account the road conditions,An internal street,Commercial area,Sage,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Bike,Medium,7,Male,50,1,There is no,Not on or by (20) meters of a,1
204,204,204,896676,2021,Abu Dhabi,November,Monday,Before noon,second week,Be shocked,Sudden deviation,Abu Dhabi Road - Al Ain,Residential area,Mohammed bin Zayed City,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,48,Male,60,2,There is no,Not on or by (20) meters of a,1
205,205,205,896677,2021,Abu Dhabi,Dec,Thursday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sweihan Road,External road,Sweihan,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,32,Male,120,2,There is no,Not on or by (20) meters of a,1
206,206,206,896678,2021,Umm Al Quwain,October,Thursday,Before noon,The first week,Deterioration,Sudden deviation,Sheikh Mohammed bin Zayed Street (Umm Al Qain - Ras Al Khaimah),Tunnel / Bridge,Navel,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,31,Male,140,3,There is no,Not on or by (20) meters of a,1
207,207,207,896679,2021,Abu Dhabi,April,Saturday,Evening,second week,Be shocked,Entering a place forbidden,Al -Mafraq Al -Shawamik Street,Residential area,Tall,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,26,Male,60,2,There is no,A meeting of half -vertical roads,1
208,208,208,896680,2021,Abu Dhabi,September,Saturday,Evening,The first week,Shock,Not leaving enough distance,The tall roundabout,External road,The farmer,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,22,Male,100,3,There is no,Not on or by (20) meters of a,1
209,209,209,896681,2021,Fujairah,August,Saturday,Before noon,fourth week,Cross -100,Enter a major road without making sure that it is free,Dakhli Street,Residential area,Masafi - Al -Tayyiba area,Dhuatatin Road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,44,Female,60,2,There is no,Vertical cross intersection,1
210,210,210,896682,2021,Abu Dhabi,May,Thursday,Evening,The first week,Be shocked,Sudden deviation,Eastern Street (Al Traffic) (Four),School,Humper saffron,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,25,Male,80,4,There is no,Not on or by (20) meters of a,1
211,211,211,896683,2021,Abu Dhabi,September,Wednesday,Before noon,second week,Shock,Not adhering to the mandatory itinerary,Sheikh Zayed Street - Sheikh Zayed Tunnel,Commercial area,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,34,Female,120,4,There is no,Not on or by (20) meters of a,1
212,212,212,896684,2021,Abu Dhabi,September,Tuesday,Evening,the third week,Shock,Enter a major road without making sure that it is free,Khalid bin Sultan Street,garden,Penalty,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,21,Male,80,3,There is no,Not at intersection,1
213,213,213,896685,2021,Abu Dhabi,July,Friday,Before noon,The fifth week,Shock,Preoccupation with the road while driving the vehicle in any way,There is no definition,Residential area,Sa'adiat Island,Individual,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,65,Male,40,2,There is no,Not on or by (20) meters of a,1
214,214,214,896686,2021,Abu Dhabi,October,Sunday,Before noon,the third week,Consecutive,Not leaving enough distance,Sheikh Maktoum Bin Rashid Street,Tunnel / Bridge,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,42,Male,140,4,There is no,Not on or by (20) meters of a,1
215,215,215,896687,2021,Abu Dhabi,January,Tuesday,At noon,The first week,Fall,The doors are not tightened,Muhammad bin Khalifa Street,Residential area,Healer,vertigo,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,44,Female,80,3,There is no,vertigo,1
216,216,216,896688,2021,Ajman,February,Tuesday,In the afternoon,The first week,Be shocked,Enter a major road without making sure that it is free,El-Shikh Zayed street,Residential area,Halio,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,34,Male,40,0,There is no,Vertical cross intersection,1
217,217,217,896689,2021,Abu Dhabi,January,Tuesday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Al Dhafra Air Force Base,public road,day,Wicked (Bad),No Clouds,Foundation,passenger,Rapid in the back seat,Medium,61,Male,80,5,There is no,Not on or by (20) meters of a,1
218,218,218,896690,2021,Abu Dhabi,March,Friday,Evening,fourth week,Be shocked,Enter a major road without making sure that it is free,Armored road,Residential area,Popularism,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,39,Male,40,1,There is no,Not on or by (20) meters of a,1
219,219,219,896691,2021,Ras Al Khaimah,March,Friday,In the afternoon,fourth week,Fall,The lack of conditions of security and traffic safety,Awafi area,Sandy area,Stagnation,Dhuatatin Road,Night - without lighting,Wicked (Bad),No Clouds,There are pitfalls,driver,Bike,Medium,17,Female,40,2,There is no,Not on or by (20) meters of a,1
220,220,220,896692,2021,Abu Dhabi,November,Wednesday,In the afternoon,the third week,Run,Not to give priority to the infantry crossing,Sultan Bin Zayed the First Street (Thirty Two),Commercial area,There is no definition of regions,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,10,Female,40,1,He crosses not on transit lines,Not at intersection,1
221,221,221,896693,2021,Ajman,October,Saturday,At noon,The first week,Run,Negligence and lack of attention,Al Nuaimia Street,Residential area,Naimia,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,6,Male,40,0,There is no,Not on or by (20) meters of a,1
222,222,222,896694,2021,Abu Dhabi,August,Friday,Evening,fourth week,Be shocked,Not adhering to the mandatory itinerary,An internal street,Commercial area,City center,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,27,Male,40,1,There is no,Not on or by (20) meters of a,1
223,223,223,896695,2021,Abu Dhabi,November,Thursday,Evening,second week,Be shocked,Not to make the road / not to give the brigades,Rotary,hospital,Eclipse,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,24,Male,60,3,There is no,vertigo,1
224,224,224,896696,2021,Abu Dhabi,January,Saturday,In the afternoon,the third week,Be shocked,Enter a major road without making sure that it is free,There is no definition,Residential area,Between the two bridges,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,50,Male,80,3,There is no,Not at intersection,1
225,225,225,896697,2021,Ras Al Khaimah,October,Saturday,Evening,the third week,Deterioration,Sudden deviation,Sheikh Mohammed bin Saqr Street,Governmental,Sih Al Hudaybah,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,23,Male,60,2,There is no,Not on or by (20) meters of a,1
226,226,226,896698,2021,Abu Dhabi,June,Sunday,At noon,the third week,Shock,Enter a major road without making sure that it is free,Sheikh Khalifa Bridge,Tunnel / Bridge,Sa'adiat Island,bridge,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,26,Male,100,4,There is no,Others,1
227,227,227,896699,2021,Abu Dhabi,February,Saturday,Evening,fourth week,Deterioration,Speed without taking into account the road conditions,Airport roundabout,Sandy area,Raw,Out of the way,Night - without lighting,Wicked (Bad),No Clouds,Sand,driver,Driver,Medium,23,Male,40,0,There is no,Not on or by (20) meters of a,1
228,228,228,896700,2021,Abu Dhabi,August,Sunday,In the afternoon,The first week,Cross -100,Exaggeration in a place where transgression is forbidden,Sweihan Road,Tunnel / Bridge,The farmer,Dhuatatin Road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Medium,41,Female,80,2,There is no,Not on or by (20) meters of a,1
229,229,229,896701,2021,Abu Dhabi,September,Sunday,In the afternoon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,International airport roads,Residential area,Khalifa City (a),Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,60,2,There is no,Not on or by (20) meters of a,1
230,230,230,896702,2021,Ajman,August,Wednesday,Before noon,second week,Run,Negligence and lack of attention,Sheikh Mohammed bin Zayed Street,Petrol station,Al -Muntazi 2,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,32,Male,120,0,He crosses not on transit lines,Not on or by (20) meters of a,1
231,231,231,896703,2021,Abu Dhabi,January,Saturday,Evening,The first week,Shock,Not to give priority to the infantry crossing,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,the airport,public road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,33,Female,80,1,He crosses pedestrian crossing lines,Vertical cross intersection,1
232,232,232,896704,2021,Abu Dhabi,October,Monday,Evening,the third week,Shocked,Negligence and lack of attention,Riyadh city,External road,There is no definition of regions,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,24,Male,60,2,There is no,vertigo,1
233,233,233,896705,2021,Abu Dhabi,June,Wednesday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Armored road,Tunnel / Bridge,Industrial armored bridge,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,52,Male,100,3,There is no,Not on or by (20) meters of a,1
234,234,234,896706,2021,Sharjah,November,Friday,Before noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Al -Maliha Street / Kalba towards Kalba,External road,Al -Maliha Street / Kalba,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,8,Male,120,3,There is no,Not at intersection,1
235,235,235,896708,2021,Abu Dhabi,March,Thursday,In the afternoon,The first week,A fixed body shocked the road,Driving the vehicle under the influence of alcohol,Rashid between Sayed Al Maktoum Street (Tah),Commercial area,Zayed City (Abu Dhabi),vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,36,Male,60,3,There is no,vertigo,1
236,236,236,896709,2021,Ajman,March,Friday,Evening,second week,Run,Negligence and lack of attention,Sheikh Rashid Bin Humaid Street,Residential area,Rashidiya,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,52,Female,50,0,There is no,Not on or by (20) meters of a,1
237,237,237,896710,2021,Abu Dhabi,November,Saturday,Evening,second week,Cross -100,Exaggeration in a place where transgression is forbidden,Old Truck Street,External road,There is no definition of regions,Individual,Night - without lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,9,Male,100,1,There is no,Not at intersection,1
238,238,238,896711,2021,Abu Dhabi,May,Tuesday,At noon,The first week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Mohammed bin Rashid Al Maktoum Street,Petrol station,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,25,Male,140,4,There is no,Not on or by (20) meters of a,1
239,239,239,896712,2021,Abu Dhabi,January,Saturday,At noon,second week,Deterioration,Driving without a driver's license at all,An internal street,garden,Ain Al -Fawya,Out of the way,day,Hole,No Clouds,Sand,driver,Driver,Medium,30,Male,40,0,There is no,Not on or by (20) meters of a,1
240,240,240,896713,2021,Abu Dhabi,September,Wednesday,At noon,fourth week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Tarif road,External road,Al Dhafra Air Force Base,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,24,Male,160,4,There is no,Not on or by (20) meters of a,1
241,241,241,896714,2021,Ajman,November,Tuesday,At noon,fourth week,Run,Negligence and lack of attention,Sheikh Rashid Bin Humaid Street,Governmental,Liurah,vertigo,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,57,Female,40,0,There is no,A meeting of half -vertical roads,1
242,242,242,896715,2021,Abu Dhabi,August,Sunday,At noon,The fifth week,Be shocked,Negligence and lack of attention,Peace Street (Eight),Governmental,There is no definition of regions,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,35,Male,20,1,There is no,Not on or by (20) meters of a,1
243,243,243,896716,2021,Sharjah,March,Thursday,In the afternoon,the third week,Cross -100,Exaggeration in a place where transgression is forbidden,Maliha Street,Residential area,Sword,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,32,Female,30,2,There is no,Vertical cross intersection,1
244,244,244,896717,2021,Ras Al Khaimah,Dec,Friday,Before noon,second week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Mohammed bin Salem Street,Residential area,Southern,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,21,Male,80,2,There is no,Hole,1
245,245,245,896718,2021,Ajman,October,Wednesday,Before noon,second week,Run,Negligence and lack of attention,unknown,Petrol station,Industrial shelf 2,Individual,Night - weak lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,28,Male,40,0,He crosses not on transit lines,A meeting of half -vertical roads,1
246,246,246,896719,2021,Abu Dhabi,November,Saturday,Before noon,the third week,Shock,Not leaving enough distance,Nissan Najda Showroom - Al Masaood Automobiles,Commercial area,the airport,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,42,Male,80,4,There is no,Vertical cross intersection,1
247,247,247,896720,2021,Abu Dhabi,February,Wednesday,At noon,the third week,Deterioration,Speed without taking into account the road conditions,There is no definition,Governmental,Sa'adiat Island,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,56,Male,40,2,There is no,Not on or by (20) meters of a,1
248,248,248,896721,2021,Abu Dhabi,April,Tuesday,At noon,the third week,Deterioration,Driving without a driver's license at all,Roin Road,External road,sedate,vertigo,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,25,Male,40,1,There is no,Not on or by (20) meters of a,1
249,249,249,896722,2021,Abu Dhabi,April,Monday,At noon,fourth week,A fixed body was shocked outside the road,Speed without taking into account the road conditions,Abu Dhabi Road - Al Ain,Residential area,Magic,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,27,Male,120,3,There is no,Not on or by (20) meters of a,1
250,250,250,896723,2021,Abu Dhabi,January,Tuesday,At noon,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,External road,There is no definition of regions,Double road,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,45,Female,140,4,There is no,Not on or by (20) meters of a,1
251,251,251,896724,2021,Abu Dhabi,Dec,Friday,In the afternoon,The first week,Cross -100,Sudden deviation,Armored road,Residential area,Mohammed bin Zayed City,Double road,Night - Enough lighting,narrow road,No Clouds,dry,driver,Bike,Medium,28,Male,80,1,There is no,Not on or by (20) meters of a,1
252,252,252,896725,2021,Abu Dhabi,February,Friday,In the afternoon,fourth week,Shock,Not adhering to the mandatory itinerary,Khalifa Bin Zayed Street(Three),Governmental,Central,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,32,Male,60,3,There is no,Not on or by (20) meters of a,1
253,253,253,896726,2021,Abu Dhabi,November,Wednesday,Evening,the third week,Be shocked,Preoccupation with the road while driving the vehicle in any way,There is no definition,Industrial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,23,Male,60,1,There is no,Not on or by (20) meters of a,1
254,254,254,896727,2021,Abu Dhabi,January,Thursday,In the afternoon,second week,A fixed body was shocked outside the road,Driving the vehicle under the influence of alcohol,An internal street,Residential area,Kuwaiti women,Dhuatatin Road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,52,Male,40,2,There is no,Not at intersection,1
255,255,255,896728,2021,Ras Al Khaimah,March,Saturday,At noon,fourth week,Be shocked,Enter a major road without making sure that it is free,Sheikh Zayed bin Sultan Street,School,Sih Al -Barirat,Double road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Medium,35,Male,60,2,There is no,Not on or by (20) meters of a,1
256,256,256,896729,2021,Ras Al Khaimah,August,Thursday,Before noon,The first week,Cross -100,Enter a major road without making sure that it is free,Al -Jazeera Al -Hamra area,External road,The Red Island,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,39,Male,100,2,There is no,Hole,1
257,257,257,896730,2021,Abu Dhabi,March,Saturday,In the afternoon,the third week,Shock,Fatigue and drowsiness,Tarif road,External road,Arian,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,35,Male,160,4,There is no,Not on or by (20) meters of a,1
258,258,258,896731,2021,Abu Dhabi,May,Wednesday,Evening,fourth week,Deterioration,Sudden deviation,Khalifa City Bridge,Residential area,The city of Shakhbout,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,60,3,There is no,Not on or by (20) meters of a,1
259,259,259,896732,2021,Abu Dhabi,October,Monday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Ruwais Street - Goods,External road,General Street (Abu Dhabi - Commodities),Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,35,Male,160,3,There is no,Not at intersection,1
260,260,260,896733,2021,Abu Dhabi,July,Sunday,Evening,the third week,Shock,Not leaving enough distance,Satellite Street - Tarif,External road,General Street (Abu Dhabi - Commodities),public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,37,Male,160,4,There is no,Not on or by (20) meters of a,1
261,261,261,896734,2021,Sharjah,June,Sunday,At noon,The first week,Run,Overing from the right or ingredon is cautious,The first industrial street,Commercial area,The first industrial,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,35,Male,60,2,Familiar,Not on or by (20) meters of a,1
262,262,262,896735,2021,Umm Al Quwain,September,Thursday,Before noon,second week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Emirates Street,Tunnel / Bridge,Polite area,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,29,Male,140,3,There is no,Not on or by (20) meters of a,1
263,263,263,896736,2021,Sharjah,March,Thursday,Before noon,The first week,Be shocked,Not adhering to the mandatory itinerary,Al Hamriyah Street,External road,Hamriyah,vertigo,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,17,Male,30,2,There is no,vertigo,1
264,264,264,896737,2021,Abu Dhabi,January,Thursday,At noon,second week,Deterioration,Sudden deviation,An internal street,Residential area,Abu Kira,Dhuatatin Road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,18,Male,100,2,There is no,Not at intersection,1
265,265,265,896738,2021,Abu Dhabi,February,Monday,In the afternoon,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,Residential area,Al -Ajaban,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,20,Male,60,2,There is no,A meeting of half -vertical roads,1
266,266,266,896739,2021,Abu Dhabi,August,Sunday,Evening,The fifth week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Khalifa Bin Zayed Street I,Industrial area,There is no definition of regions,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,27,Male,100,3,There is no,Not at intersection,1
267,267,267,896740,2021,Abu Dhabi,July,Tuesday,Evening,fourth week,Be shocked,Not adhering to the mandatory itinerary,El-Shikh Zayed street,Tunnel / Bridge,There is no definition of regions,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,22,Male,100,4,There is no,Not at intersection,1
268,268,268,896741,2021,Ras Al Khaimah,May,Sunday,Evening,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,Al Montaser Street,Commercial area,Palm,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,13,Male,60,2,There is no,Vertical cross intersection,1
269,269,269,896742,2021,Abu Dhabi,February,Wednesday,At noon,The first week,Be shocked,Preoccupation with the road while driving the vehicle in any way,General Street (Abu Dhabi - Commodities),Residential area,Port,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,41,Male,160,4,There is no,Not at intersection,1
270,270,270,896743,2021,Ras Al Khaimah,October,Tuesday,Evening,The first week,Be shocked,The lack of conditions of security and traffic safety,Sheikh Mohammed bin Saqr Street,School,Sih Al -Barirat,vertigo,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Medium,31,Female,50,2,There is no,vertigo,1
271,271,271,896744,2021,Abu Dhabi,Dec,Thursday,At noon,second week,Shock,Overcoming the red light signal - the arrow signal,Zayed the First Street(Seven),Commercial area,Expert,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,28,Male,60,3,There is no,A meeting of half -vertical roads,1
272,272,272,896745,2021,Ras Al Khaimah,May,Sunday,Evening,The first week,Be shocked,Enter a major road without making sure that it is free,Public Public Street,Residential area,Stagnation,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,passenger,Bike,Medium,29,Male,40,1,There is no,Vertical cross intersection,1
273,273,273,896746,2021,Abu Dhabi,Dec,Wednesday,At noon,the third week,Be shocked,Sudden deviation,International airport roads,Residential area,Khalifa City (a),Double road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,31,Male,60,2,There is no,A meeting of half -vertical roads,1
274,274,274,896747,2021,Ajman,August,Wednesday,Before noon,fourth week,Shock,Not leaving enough distance,Sheikh Ammar bin Humaid Al -Nuaimi Street,Commercial area,Kindergarten,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,43,Female,80,0,There is no,Not on or by (20) meters of a,1
275,275,275,896748,2021,Ras Al Khaimah,March,Thursday,Before noon,the third week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Al -Falaiya Street,Commercial area,Atmosphere,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,34,Male,100,2,There is no,Not on or by (20) meters of a,1
276,276,276,896749,2021,Abu Dhabi,October,Monday,Before noon,The first week,Deterioration,Not adhering to the mandatory itinerary,Khalifa Bin Zayed Street I,Mosque,Objectionable,Double road,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,38,Male,80,3,There is no,Not at intersection,1
277,277,277,896750,2021,Abu Dhabi,July,Thursday,At noon,the third week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Sheikh Maktoum Bin Rashid Street,External road,Sih Al -Shuaib,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,48,Male,100,2,There is no,Not on or by (20) meters of a,1
278,278,278,896751,2021,Abu Dhabi,August,Friday,In the afternoon,second week,Cross -100,Overcoming the red light signal,Yas Street One,Residential area,Yass Island,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,driver,Bike,Medium,23,Male,80,3,There is no,Vertical cross intersection,1
279,279,279,896752,2021,Sharjah,August,Tuesday,Evening,second week,Be shocked,Sir is the opposite of the direction,Sheikh Muhammad bin Sultan Al Qasimi Square,Residential area,Palm,vertigo,Night - Enough lighting,Other (select),No Clouds,dry,driver,Driver,Medium,31,Male,60,2,There is no,vertigo,1
280,280,280,896753,2021,Abu Dhabi,January,Friday,In the afternoon,second week,A fixed body was shocked outside the road,Not adhering to the mandatory itinerary,An internal street,Residential area,Shuaiba,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,13,Male,40,1,There is no,Increase deviant roads,1
281,281,281,896754,2021,Abu Dhabi,January,Sunday,In the afternoon,The first week,Shock,Enter a major road without making sure that it is free,Al Ain Street - Abuiriya,External road,Abu Kira,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,3,Female,140,2,There is no,Hole,1
282,282,282,896755,2021,Abu Dhabi,May,Friday,Evening,The first week,Shock,Driving the vehicle under the influence of alcohol,Muhammad bin Khalifa Street,Residential area,Healer,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Medium,65,Male,80,3,There is no,vertigo,1
283,283,283,896756,2021,Abu Dhabi,January,Tuesday,At noon,The first week,Fall,The doors are not tightened,Muhammad bin Khalifa Street,Residential area,Healer,vertigo,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Medium,2,Female,80,3,There is no,vertigo,1
284,284,284,896757,2021,Abu Dhabi,October,Saturday,In the afternoon,second week,Shock,Enter a major road without making sure that it is free,There is no definition,Commercial area,Industrial Archbishop,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,30,Male,80,3,There is no,Not on or by (20) meters of a,1
285,285,285,896758,2021,Abu Dhabi,November,Wednesday,Before noon,fourth week,A fixed body shocked the road,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,Residential area,The Military Renaissance City,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,19,Male,60,2,There is no,A meeting of half -vertical roads,1
286,286,286,896759,2021,Abu Dhabi,May,Saturday,At noon,second week,Cross -100,Overcoming the red light signal,Khalid bin Sultan Street,Tunnel / Bridge,Pre -Islamic,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,55,Male,80,3,There is no,Multi -legs intersection,1
287,287,287,896760,2021,Abu Dhabi,June,Saturday,Evening,the third week,Consecutive,Negligence and lack of attention,Sheikh Zayed Street - Sheikh Zayed Tunnel,Commercial area,El-Shikh Zayed street,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,33,Male,80,4,There is no,Not on or by (20) meters of a,1
