,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
597,597,62577,85676,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,10/24/2013,2013/10/24-18:34,2013/10/24-18:40,2013/10/24-18:43,10/24/2013 19:27,2013/10/24-19:30,2013/10/24-19:50,Transportation accidents,Clash,the person,tourist,tourist,Banyan Resort Tie Mohammed Bin Zayed Street,take actions,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
598,598,62595,85694,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/25/2013,2013/10/25-23:42,2013/10/25-23:45,2013/10/25-23:47,10/25/2013 23:48,2013/10/25-23:49,2013/10/26-00:10,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Al -Seah / behind Ras Al Khaimah Club,Ambulance and transfer of a person,furniture,No Clouds,natural,very important,basic,Traffic accident,2,0,,
599,599,62597,85696,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,10/25/2013,2013/10/25-23:05,2013/10/25-23:09,2013/10/25-23:10,10/25/2013 23:55,2013/10/25-23:57,2013/10/26-00:02,Transportation accidents,Clash,Cars,Other places,Streets and squares,Al -Sarram area in Dibba Fujairah,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
600,600,62607,85706,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/26/2013,2013/10/26-17:45,2013/10/26-17:50,2013/10/26-17:53,10/26/2013 17:55,2013/10/26-18:01,2013/10/26-18:35,Transportation accidents,Run over,the person,Public facilities and services,Public places and places,Al -Nakheel Street (at the Sultan Restaurant),Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
601,601,62608,85707,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/26/2013,2013/10/26-19:50,2013/10/26-19:54,2013/10/26-19:58,10/26/2013 20:00,2013/10/26-20:02,2013/10/26-20:27,Transportation accidents,Run over,the person,Public facilities and services,Public places and places,The breastfeeding (at the fish market),Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,it is not determined yet,1,0,,
602,602,62615,85714,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/27/2013,2013/10/27-08:12,2013/10/27-08:15,2013/10/27-08:17,10/27/2013 8:20,2013/10/27-08:21,2013/10/27-08:30,Transportation accidents,Clash,the person,commercial,Shopping center,Against the Expo Center,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
603,603,62619,85718,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/27/2013,2013/10/27-15:32,2013/10/27-15:39,2013/10/27-15:42,10/27/2013 15:43,2013/10/27-15:44,2013/10/27-16:00,Transportation accidents,Deterioration,the person,commercial,commercial,Shama Al Ras Street opposite the Hall of Shaml,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
604,604,62620,85719,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/27/2013,2013/10/27-15:26,2013/10/27-15:31,2013/10/27-15:32,10/27/2013 15:33,2013/10/27-15:34,2013/10/27-16:00,Transportation accidents,Clash,the person,commercial,commercial,The poems are near Al -Fanner roundabout,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
605,605,62624,85723,Abu Dhabi,Rapid Intervention Center - Khalifa A.,Police and traffic,10/25/2013,2013/10/25-02:56,2013/10/25-03:02,2013/10/25-03:30,10/25/2013 5:15,2013/10/25-05:50,2013/10/25-06:06,Transportation accidents,a fire,Cars,Means of transport,car,International Airport Street opposite Golf Club,Fire fighting and directing bodies,Cars,No Clouds,natural,very important,medium,Traffic accident,0,1,,
606,606,62626,85725,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,10/27/2013,2013/10/27-20:22,2013/10/27-20:24,2013/10/27-20:25,10/27/2013 20:26,2013/10/27-20:27,2013/10/27-20:55,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Ancient industrial,Ambulance and transfer of a person,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
607,607,62631,85730,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,10/28/2013,2013/10/28-11:41,2013/10/28-11:44,2013/10/28-11:45,10/28/2013 11:46,2013/10/28-11:49,2013/10/28-12:18,Transportation accidents,Deterioration,the person,Other places,Streets and squares,The night free zone,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
608,608,62635,85734,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/28/2013,2013/10/28-18:48,2013/10/28-18:52,2013/10/28-18:53,10/28/2013 18:54,2013/10/28-18:56,2013/10/28-19:12,Transportation accidents,Run over,the person,Other places,Streets and squares,Buried,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
609,609,62639,85738,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/28/2013,2013/10/28-23:36,2013/10/28-23:39,2013/10/28-23:40,10/28/2013 23:43,2013/10/28-23:46,2013/10/29-00:00,Transportation accidents,One hundredth,the person,Other places,Streets and squares,The old Ras Al Khaimah opposite the British Bank,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
610,610,62641,85740,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/29/2013,2013/10/29-00:02,2013/10/29-00:06,2013/10/29-00:08,10/29/2013 0:12,2013/10/29-00:15,2013/10/29-00:29,Transportation accidents,Clash,the person,Other places,Streets and squares,Palm area,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,3,0,,
611,611,62645,85744,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,10/29/2013,2013/10/29-07:36,2013/10/29-07:40,2013/10/29-07:42,10/29/2013 7:44,2013/10/29-07:45,2013/10/29-08:36,Transportation accidents,Deterioration,the person,Public facilities and services,Public places and places,Al -Jazeera Al -Hamra / near the Akassia Hotel,Ambulance and transfer of a person,furniture,No Clouds,natural,very important,basic,Traffic accident,2,0,,
612,612,62648,85747,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/29/2013,2013/10/29-10:50,2013/10/29-10:55,2013/10/29-10:57,10/29/2013 10:58,2013/10/29-10:59,2013/10/29-11:23,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Al -Falaiya Street,Ambulance and transfer of a person,furniture,No Clouds,natural,very important,basic,Traffic accident,1,0,,
613,613,62657,85756,Eye,Civil Defense Center - Sweihan,Police and traffic,10/29/2013,2013/10/29-13:45,2013/10/29-13:50,2013/10/29-14:00,10/29/2013 19:45,2013/10/29-20:05,2013/10/29-20:12,Transportation accidents,Deterioration,Trucks,Means of transport,trailer,Sweihan towards Al -Hir,Sand -dropped oil coverage,Transmission,No Clouds,natural,Normal,basic,Traffic accident,0,0,,
614,614,62658,85757,Ajman,Civil Defense Center - Rumaila,Police and traffic,10/29/2013,2013/10/29-20:00,2013/10/29-20:03,2013/10/29-20:05,10/29/2013 20:07,2013/10/29-20:08,2013/10/29-20:45,Transportation accidents,One hundredth,the person,Other places,Streets and squares,Ajman Corniche Diwan Roundabout,Transfer,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
615,615,62661,85760,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/30/2013,2013/10/30-00:10,2013/10/30-00:15,2013/10/30-00:18,10/30/2013 0:19,2013/10/30-00:20,2013/10/30-00:53,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Ghab area,Ambulance and transfer of a person,furniture,No Clouds,natural,very important,basic,Traffic accident,1,0,,
616,616,62663,85762,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/30/2013,2013/10/30-01:07,2013/10/30-01:10,2013/10/30-01:12,10/30/2013 1:13,2013/10/30-01:14,2013/10/30-01:43,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Palm opposite the Hilton Hotel,Ambulance and transfer of a person,furniture,No Clouds,natural,very important,basic,Traffic accident,1,0,,
617,617,62678,85777,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/31/2013,2013/10/31-14:52,2013/10/31-14:57,2013/10/31-15:00,10/31/2013 15:05,2013/10/31-15:07,2013/10/31-15:20,Transportation accidents,Deterioration,the person,Other places,Streets and squares,Crimea Street behind Rak Mall,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
618,618,62679,85778,Ajman,Civil Defense Center - Administration,The audience,10/31/2013,2013/10/31-14:30,2013/10/31-14:35,2013/10/31-14:40,10/31/2013 14:45,2013/10/31-14:50,2013/10/31-14:55,Transportation accidents,Clash,Missing,Other places,Streets and squares,Mohammed bin Zayed Street,Exit and transfer injured people,Missing,No Clouds,natural,Important,basic,it is not determined yet,1,0,,
619,619,62680,85779,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,10/31/2013,2013/10/31-15:33,2013/10/31-15:38,2013/10/31-15:41,10/31/2013 15:44,2013/10/31-15:45,2013/10/31-16:40,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Sheikh/ Mohammed bin Zayed Street,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,2,0,,
620,620,62683,85782,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/31/2013,2013/10/31-18:36,2013/10/31-18:46,2013/10/31-18:50,10/31/2013 18:55,2013/10/31-18:57,2013/10/31-19:20,Transportation accidents,Clash,the person,Other places,Streets and squares,Al -Kharan opposite the falcon garden,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,2,0,,
621,621,62686,85785,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,10/31/2013,2013/10/31-20:18,2013/10/31-20:25,2013/10/31-20:28,10/31/2013 20:33,2013/10/31-20:35,2013/10/31-21:11,Transportation accidents,Clash,the person,Other places,Streets and squares,Opposite the Ras Al Khaimah Hotel,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
622,622,62699,85798,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,11/1/2013,2013/11/01-20:15,2013/11/01-20:17,2013/11/01-20:20,11/1/2013 20:28,2013/11/01-20:32,2013/11/01-20:55,Transportation accidents,Deterioration,the person,Other places,Streets and squares,Al Rahba area,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
623,623,62702,85801,Al Dhafra,Civil Defense Center - Ghayathi,Police and traffic,11/1/2013,2013/11/01-22:44,2013/11/01-22:55,2013/11/01-22:56,11/1/2013 23:06,2013/11/01-23:07,2013/11/01-23:45,Transportation accidents,Deterioration,Cars,Other places,Streets and squares,Umm Al -Hosn Roundabout / Ghayathi,take actions,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
624,624,62708,85807,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,11/2/2013,2013/11/02-12:13,2013/11/02-12:18,2013/11/02-12:25,11/2/2013 12:30,2013/11/02-12:40,2013/11/02-12:50,Transportation accidents,Run over,the person,Public facilities and services,Public places and places,Rams near the Rams Police Station,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
625,625,62729,85828,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/3/2013,2013/11/03-12:41,2013/11/03-12:44,2013/11/03-12:46,11/3/2013 12:47,2013/11/03-12:48,2013/11/03-13:40,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Al -Jazeera Al -Hamra (opposite Ras Al Khaimah Markets),Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
626,626,62770,85869,Ras Al Khaimah,Civil Defense Center - Kadra,The audience,11/5/2013,2013/11/05-07:05,2013/11/05-07:10,2013/11/05-07:13,11/5/2013 7:27,2013/11/05-07:29,2013/11/05-08:32,Transportation accidents,Clash,the person,Other places,Streets and squares,Sheikh Khalifa Bin Zayed Street near the Kadra Bridge,Ambulance and transfer of injured and deceased,Specific,No Clouds,natural,very important,medium,Traffic accident,2,1,,
627,627,62771,85870,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/5/2013,2013/11/05-12:36,2013/11/05-12:39,2013/11/05-12:40,11/5/2013 13:14,2013/11/05-13:16,2013/11/05-13:25,Transportation accidents,Clash,the person,Other places,Streets and squares,Al -Jazeera Al -Hamra opposite the Majan Press,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,2,0,,
628,628,62774,85873,Eye,Civil Defense Center - Sweihan,Civil defense departments and centers,11/5/2013,2013/11/05-13:17,2013/11/05-13:23,2013/11/05-13:25,11/5/2013 14:42,2013/11/05-14:52,2013/11/05-15:00,Transportation accidents,One hundredth,Other things,Other places,Streets and squares,Sweihan Abu Dhabi Road,Street cleaning from oils,Pigments,No Clouds,natural,Normal,basic,it is not determined yet,0,0,,
629,629,62779,85878,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/5/2013,2013/11/05-21:41,2013/11/05-21:45,2013/11/05-21:46,11/5/2013 21:48,2013/11/05-21:50,2013/11/05-22:11,Transportation accidents,Run over,the person,Other places,Streets and squares,Al Shraisha area,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
630,630,62780,85879,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,11/5/2013,2013/11/05-23:05,2013/11/05-23:10,2013/11/05-23:11,11/5/2013 23:13,2013/11/05-23:15,2013/11/05-23:35,Transportation accidents,Clash,the person,Other places,Streets and squares,Al Ras area,take actions,Specific,No Clouds,natural,very important,basic,Traffic accident,2,0,,
631,631,62789,85888,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,11/6/2013,2013/11/06-13:27,2013/11/06-13:31,2013/11/06-13:40,11/6/2013 13:50,2013/11/06-14:02,2013/11/06-14:12,Transportation accidents,Clash,the person,Other places,Streets and squares,Whisper,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
632,632,62791,85890,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/6/2013,2013/11/06-17:11,2013/11/06-17:14,2013/11/06-17:19,11/6/2013 17:45,2013/11/06-17:50,2013/11/06-18:00,Transportation accidents,Clash,the person,Other places,Streets and squares,Behind,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
633,633,62793,85892,Abu Dhabi,Civil Defense Center - Saadiyat,Police and traffic,11/5/2013,2013/11/05-17:55,2013/11/05-17:57,2013/11/05-17:58,11/5/2013 17:59,2013/11/05-18:00,2013/11/05-18:10,Transportation accidents,Clash,Cars,Means of transport,Methods and transport facilities,On the main street towards Yas Island,Inspection,Cars,No Clouds,natural,Normal,Limited,it is not determined yet,0,0,,
634,634,62798,85897,Abu Dhabi,Civil Defense Center - Al -Qubaisat,Police and traffic,11/5/2013,2013/11/05-16:46,2013/11/05-16:48,2013/11/05-16:50,11/5/2013 16:52,2013/11/05-16:58,2013/11/05-17:00,Transportation accidents,Clash,Cars,Means of transport,car,College intersection,Inspection,Cars,No Clouds,natural,Normal,Limited,Traffic accident,0,0,,
635,635,62810,85909,Ras Al Khaimah,Civil Defense Center - Administration,Civil defense departments and centers,11/7/2013,2013/11/07-11:38,2013/11/07-11:42,2013/11/07-11:45,11/7/2013 11:46,2013/11/07-11:48,2013/11/07-12:06,Transportation accidents,Deterioration,the person,Public facilities and services,Public places and places,Al -Montaser Street at the target supermarket roundabout,Ambulance and rescue,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
636,636,62813,85912,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,11/7/2013,2013/11/07-12:50,2013/11/07-12:59,2013/11/07-13:06,11/7/2013 13:08,2013/11/07-13:09,2013/11/07-13:50,Transportation accidents,Deterioration,the person,Public facilities and services,Public places and places,Sheikh Khalifa Street (at Wadi Asfni's director),Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
637,637,62823,85922,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/7/2013,2013/11/07-23:47,2013/11/07-23:51,2013/11/07-23:53,11/7/2013 23:54,2013/11/07-23:57,2013/11/08-01:05,Transportation accidents,Clash,the person,commercial,commercial,Ras Al Khaimah mail intersection,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
638,638,62831,85930,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/8/2013,2013/11/08-15:25,2013/11/08-15:31,2013/11/08-15:35,11/8/2013 15:38,2013/11/08-15:40,2013/11/08-16:03,Transportation accidents,Clash,the person,Other places,Streets and squares,Mairid area next to Bin Majid Association,Ambulance and rescue,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
639,639,62834,85933,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/8/2013,2013/11/08-17:02,2013/11/08-17:06,2013/11/08-17:09,11/8/2013 17:10,2013/11/08-17:11,2013/11/08-17:43,Transportation accidents,Clash,the person,commercial,commercial,Al -Jazeera Al -Hamra opposite the ADNOC oil station,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
640,640,62839,85938,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/9/2013,2013/11/09-02:25,2013/11/09-02:28,2013/11/09-02:29,11/9/2013 2:30,2013/11/09-02:32,2013/11/09-03:00,Transportation accidents,Clash,the person,Industrial,Industrial,The Rham Road Road,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
641,641,62842,85941,Fujairah,Civil Defense Center - Al -Madinah,Civil defense departments and centers,11/9/2013,2013/11/09-01:42,2013/11/09-01:43,2013/11/09-01:44,11/9/2013 1:45,2013/11/09-02:29,2013/11/09-02:30,Transportation accidents,Deterioration,Cars,governmental,governmental,In front of Umm Al -Ala School - next to the city center,Street cleaning from oils,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
642,642,62847,85946,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/9/2013,2013/11/09-11:54,2013/11/09-12:00,2013/11/09-12:03,11/9/2013 12:05,2013/11/09-12:06,2013/11/09-12:40,Transportation accidents,Clash,the person,Other places,Streets and squares,Near the community police station (Al -Jazeera Al -Hamra),Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,it is not determined yet,1,0,,
643,643,62850,85949,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/9/2013,2013/11/09-15:08,2013/11/09-15:15,2013/11/09-15:19,11/9/2013 15:22,2013/11/09-15:23,2013/11/09-15:58,Transportation accidents,Clash,the person,Other places,Streets and squares,Al -Fella Street,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,it is not determined yet,2,0,,
644,644,62852,85951,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/9/2013,2013/11/09-16:30,2013/11/09-16:34,2013/11/09-16:40,11/9/2013 16:42,2013/11/09-16:43,2013/11/09-17:15,Transportation accidents,Clash,the person,Other places,Streets and squares,Dahan area - Ras Al Khaimah,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,2,0,,
645,645,62857,85956,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/9/2013,2013/11/09-21:57,2013/11/09-22:01,2013/11/09-22:02,11/9/2013 22:05,2013/11/09-22:08,2013/11/09-22:25,Transportation accidents,Run over,the person,Other places,Streets and squares,Globe,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
646,646,62861,85960,Umm Al Quwain,Raise Center,Police and traffic,11/10/2013,2013/11/10-12:30,2013/11/10-12:40,2013/11/10-12:41,11/10/2013 12:42,2013/11/10-12:43,2013/11/10-13:30,Transportation accidents,Deterioration,the person,governmental,governmental,"Sheikh Muhammad Road, near the exit 116 towards Ajman",Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,2,0,,
647,647,62867,85966,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,11/10/2013,2013/11/10-17:40,2013/11/10-17:48,2013/11/10-17:58,11/10/2013 18:20,2013/11/10-18:40,2013/11/10-18:50,Transportation accidents,Clash,the person,Other places,Streets and squares,أسلية -شعر خور خور,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,6,0,,
648,648,62872,85971,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Civil defense departments and centers,11/11/2013,2013/11/11-09:46,2013/11/11-09:52,2013/11/11-10:26,11/11/2013 10:28,2013/11/11-10:30,2013/11/11-10:54,Transportation accidents,Deterioration,the person,Public facilities and services,Public places and places,Mohammed Bin Zayed Street - Exit 119 towards Ras Al Khaimah,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
649,649,62877,85976,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/11/2013,2013/11/11-19:35,2013/11/11-19:42,2013/11/11-19:44,11/11/2013 19:46,2013/11/11-19:50,2013/11/11-20:10,Transportation accidents,Run over,the person,Public facilities and services,Public places and places,Al -Rams Street against Victory Parts,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
650,650,62886,85985,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/12/2013,2013/11/12-17:15,2013/11/12-17:20,2013/11/12-17:22,11/12/2013 17:23,2013/11/12-17:24,2013/11/12-18:00,Transportation accidents,Clash,the person,governmental,governmental,Chant,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
651,651,62890,85989,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/12/2013,2013/11/12-23:23,2013/11/12-23:24,2013/11/12-23:27,11/12/2013 23:29,2013/11/12-23:32,2013/11/13-00:15,Transportation accidents,Clash,the person,Other places,Streets and squares,Communications Street next to the International Motor,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,2,0,,
652,652,62891,85990,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/13/2013,2013/11/13-03:40,2013/11/13-03:43,2013/11/13-03:45,11/13/2013 3:48,2013/11/13-03:49,2013/11/13-04:30,Transportation accidents,Run over,the person,Other places,Streets and squares,Al -Jazeera Al Hamra - Al Hamra Plus Hotel,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
653,653,62920,86019,Umm Al Quwain,Raise Center,Police and traffic,11/14/2013,2013/11/14-16:10,2013/11/14-16:16,2013/11/14-16:17,11/14/2013 16:18,2013/11/14-16:19,2013/11/14-17:00,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Sheikh Mohammed bin Zayed Street opposite the Edinuk station,Ambulance and transfer of a person,Cars,No Clouds,unclassified,Normal,basic,Traffic accident,1,0,,
654,654,62922,86021,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/14/2013,2013/11/14-13:12,2013/11/14-13:14,2013/11/14-13:20,11/14/2013 13:30,2013/11/14-13:50,2013/11/14-13:55,Transportation accidents,Run over,the person,Other places,Streets and squares,Palm opposite Bin Zahir Center - Communications Street,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
655,655,62931,86030,Ajman,Civil Defense Center - Rumaila,Police and traffic,11/14/2013,2013/11/14-18:35,2013/11/14-18:37,2013/11/14-18:50,11/14/2013 19:15,2013/11/14-19:20,2013/11/14-20:00,Transportation accidents,Run over,Cars,Other places,Streets and squares,Al -Bustan area opposite the demand for Electronics,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
656,656,62944,86043,Al Dhafra,Civil Defense Center - Liwa,Civil defense departments and centers,11/15/2013,2013/11/15-21:00,2013/11/15-21:04,2013/11/15-21:05,11/15/2013 21:06,2013/11/15-21:07,2013/11/15-21:25,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,"Liwa, near the palace roundabout",take actions,Cars,No Clouds,natural,Important,basic,Traffic accident,2,0,,
657,657,62952,86051,Ajman,Civil Defense Center - Administration,Police and traffic,11/16/2013,2013/11/16-18:19,2013/11/16-18:23,2013/11/16-18:25,11/16/2013 18:29,2013/11/16-18:32,2013/11/16-19:10,Transportation accidents,Clash,Cars,Other places,Streets and squares,Industrial area near the Khalfan Mosque,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
658,658,62959,86058,Ajman,Civil Defense Center - Administration,Police and traffic,11/16/2013,2013/11/16-22:20,2013/11/16-22:23,2013/11/16-22:24,11/16/2013 22:26,2013/11/16-22:42,2013/11/16-22:45,Transportation accidents,One hundredth,Missing,Other places,Streets and squares,Misheerf area near Grocery Sharaf,take actions,Missing,No Clouds,natural,unclassified,basic,Traffic accident,1,0,,
659,659,62972,86071,Ras Al Khaimah,Civil Defense Center - Administration,Civil defense departments and centers,11/17/2013,2013/11/17-13:40,2013/11/17-13:43,2013/11/17-13:44,11/17/2013 13:46,2013/11/17-13:47,2013/11/17-14:10,Transportation accidents,Deterioration,the person,governmental,governmental,Al -Barirat area,take actions,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
660,660,62974,86073,Ras Al Khaimah,Civil Defense Center - Administration,Civil defense departments and centers,11/17/2013,2013/11/17-13:48,2013/11/17-13:49,2013/11/17-13:50,11/17/2013 13:52,2013/11/17-13:53,2013/11/17-14:39,Transportation accidents,Deterioration,the person,governmental,governmental,"Al -Jazeera Al -Hamra, near Hamra Mall",take actions,Missing,No Clouds,natural,very important,basic,Traffic accident,1,0,,
661,661,62976,86075,Umm Al Quwain,Civil Defense Center - Al -Madinah,Police and traffic,11/17/2013,2013/11/17-17:10,2013/11/17-17:11,2013/11/17-17:12,11/17/2013 17:13,2013/11/17-17:14,2013/11/17-17:49,Transportation accidents,One hundredth,the person,residential,residential,The popularity of the elders,Ambulance and transfer of a person,Cars,Clouds,natural,Normal,basic,Traffic accident,1,0,,
662,662,62978,86077,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/17/2013,2013/11/17-17:55,2013/11/17-17:58,2013/11/17-18:00,11/17/2013 18:05,2013/11/17-18:07,2013/11/17-18:30,Transportation accidents,Clash,the person,Other places,Streets and squares,In exchange for the Civil Defense Administration,Ambulance and transfer of a person,Specific,No Clouds,natural,very important,basic,Traffic accident,3,0,,
663,663,62981,86080,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/17/2013,2013/11/17-18:36,2013/11/17-18:41,2013/11/17-18:43,11/17/2013 18:45,2013/11/17-18:47,2013/11/17-19:24,Transportation accidents,Clash,the person,Other places,Streets and squares,Southern Al -Dhait opposite Ambassador Mall,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,4,0,,
664,664,62985,86084,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,11/17/2013,2013/11/17-19:50,2013/11/17-20:03,2013/11/17-20:04,11/17/2013 20:06,2013/11/17-20:09,2013/11/17-20:42,Transportation accidents,Deterioration,Cars,Public facilities and services,Public places and places,Emirates Street towards Sharjah,Exit and transfer injured people,Cars,Clouds,natural,Normal,basic,Traffic accident,3,0,,
